complexity_level,complexity_description,instruction,sql,rejected
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
1,Простые запросы: SELECT без условий или фильтров,Покажи все товары и их категории,"SELECT ""Наименование товара"", ""Категория"" FROM ""товары"";","SELEC ""Наименование товара"", ""Категория"" FROM ""товары"";"
